score,class,case,Topic,,Title,URL
20,neutral,"You cannot delete your contributions, but it makes sense for this service",Right to Leave The Service,,"You are prohibited from sending chain letters, junk mail, spam or any unsolicited messages",https://edit.tosdr.org/cases/281
10,neutral,You cannot distribute or disclose your account to third parties,Transparency,,"You are responsible for any risks, damages, or losses that may incur by downloading materials",https://edit.tosdr.org/cases/291
30,bad,You cannot opt out of promotional communications,User Choice,,You are responsible for maintaining the security of your account and for the activities on your account,https://edit.tosdr.org/cases/148
50,bad,You have a reduced time period to take legal action against the service,Governance,,"You are tracked via web beacons, tracking pixels, browser fingerprinting, and/or device fingerprinting",https://edit.tosdr.org/cases/323
50,bad,You have a reduced time period to take legal action against the service,Governance,,You are warned of the potential consequences related to third-party access,https://edit.tosdr.org/cases/209
15,good,You have the right to leave this service at any time,Right to Leave The Service,,You aren’t allowed to publicly post private messages,https://edit.tosdr.org/cases/317
50,neutral,You have the right to request lower Charges from Third Party Providers,User Choice,,You aren’t allowed to remove or edit user-generated content,https://edit.tosdr.org/cases/479
50,good,You maintain ownership of your content,Ownership,,You aren’t forced into binding arbitration in case of disputes,https://edit.tosdr.org/cases/335
50,good,You maintain ownership of your content,Ownership,,You authorise the service to charge a credit card supplied on re-occurring basis,https://edit.tosdr.org/cases/384
25,neutral,You must create an account to use this service,Transparency,,You can access most of the pages on the service's website without revealing any personal information,https://edit.tosdr.org/cases/298
20,bad,"You must provide your legal name, pseudonyms are not allowed",Anonymity,,You can choose the copyright license,https://edit.tosdr.org/cases/222
10,neutral,You must report to the service any unauthorized use of your account or any breach of security,Security,,You can choose with whom you share content,https://edit.tosdr.org/cases/225
20,bad,You shall not interfere with another person's enjoyment of the service,Content,,You can delete your content from this service,https://edit.tosdr.org/cases/175
25,bad,You shall not interfere with another person's enjoyment of the service,Content,,You can limit how your information is used by third-parties and the service,https://edit.tosdr.org/cases/338
50,neutral,"You should revisit the terms periodically, although in case of material changes, the service will notify",Notice of Changing Terms,,You can opt out of promotional communications,https://edit.tosdr.org/cases/223
50,neutral,"You should revisit the terms periodically, although in case of material changes, the service will notify",Notice of Changing Terms,,You can opt out of providing personal information to third parties,https://edit.tosdr.org/cases/337
50,blocker,You waive your moral rights,Ownership,,You can opt out of targeted advertising,https://edit.tosdr.org/cases/219
50,bad,You waive your right to a class action.,Dispute Resolution,,"You can request access, correction and/or deletion of your data",https://edit.tosdr.org/cases/195
30,good,You will be notified about website maintenance,Guarantee,,You can retrieve an archive of your data,https://edit.tosdr.org/cases/140
30,good,You will be notified if personal data has been affected by data breaches,Security,,"You can scrape the site, as long as it doesn't impact the server too much",https://edit.tosdr.org/cases/389
60,bad,Your account can be deleted or permanently suspended without prior notice and without a reason,Suspension and Censorship,,You can set guidelines for the use of your personal information after your death,https://edit.tosdr.org/cases/503
60,bad,Your account can be deleted without prior notice and without a reason,Suspension and Censorship,,You can’t close your account if an investigation is ongoing,https://edit.tosdr.org/cases/496
15,neutral,Your account can be suspended for several reasons,Suspension and Censorship,,You cannot delete your account of this service,https://edit.tosdr.org/cases/172
30,good,Your browser's Do Not Track (DNT) headers are respected,Trackers,,"You cannot delete your contributions, but it makes sense for this service",https://edit.tosdr.org/cases/394
50,blocker,Your browsing history can be viewed by the service,Types of Information Collected,,You cannot distribute or disclose your account to third parties,https://edit.tosdr.org/cases/229
50,neutral,Your content can be deleted if you violate the terms,Suspension and Censorship,,You cannot opt out of promotional communications,https://edit.tosdr.org/cases/224
50,neutral,Your content can be distributed through any media known now or in the future,Copyright License,,You have a reduced time period to take legal action against the service,https://edit.tosdr.org/cases/151
50,bad,Your content can be licensed to third parties,Copyright License,,You have the right to leave this service at any time,https://edit.tosdr.org/cases/170
50,bad,Your data is processed and stored in a country that is less friendly to user privacy protection,Personal Data,,You have the right to request lower Charges from Third Party Providers,https://edit.tosdr.org/cases/309
25,bad,Your data may be processed and stored anywhere in the world,Personal Data,,You maintain ownership of your content,https://edit.tosdr.org/cases/183
30,good,Your feedback is invited regarding changes to the terms.,User Involvement in Changing Terms,,You must create an account to use this service,https://edit.tosdr.org/cases/230
90,blocker,Your identity is used in ads that are shown to other users,Advertising,,You must provide your identifiable information,https://edit.tosdr.org/cases/409
80,good,Your information is only shared with third parties when given specific consent,Third Parties,,"You must provide your legal name, pseudonyms are not allowed",https://edit.tosdr.org/cases/214
10,neutral,Your personal data is aggregated into statistics,Personal Data,,You must report to the service any unauthorized use of your account or any breach of security,https://edit.tosdr.org/cases/484
50,good,Your personal data is not shared with third parties,Third Parties,,You shall not interfere with another person's enjoyment of the service,https://edit.tosdr.org/cases/285
25,good,Your personal data is not sold,Personal Data,,"You should revisit the terms periodically, although in case of material changes, the service will notify",https://edit.tosdr.org/cases/329
30,bad,Your personal data is used for advertising,Advertising,,You waive your moral rights,https://edit.tosdr.org/cases/118
50,blocker,"Your personal data is used for automated decision-making, profiling or AI training",Personal Data,,You waive your right to a class action.,https://edit.tosdr.org/cases/117
60,good,Your personal data is used for limited purposes,Personal Data,,You will be notified about website maintenance,https://edit.tosdr.org/cases/159
40,bad,Your personal data is used to employ targeted third-party advertising,Advertising,,You will be notified if personal data has been affected by data breaches,https://edit.tosdr.org/cases/391
10,bad,Your personal data is used to employ targeted third-party advertising,trackers,,Your account can be deleted or permanently suspended without prior notice and without a reason,https://edit.tosdr.org/cases/201
50,bad,Your personal data may be sold or otherwise transferred as part of a bankruptcy proceeding or other type of financial transaction,Business Transfers,,Your account can be suspended for several reasons,https://edit.tosdr.org/cases/205
50,bad,Your personal data may be used for marketing purposes,Advertising,,Your biometric data is collected,https://edit.tosdr.org/cases/397
40,bad,Your personal information is used for many different purposes,Personal Data,,Your browser's Do Not Track (DNT) headers are respected,https://edit.tosdr.org/cases/383
30,neutral,Your private content may be accessed by people working for the service,Personal Data,,Your browsing history can be viewed by the service,https://edit.tosdr.org/cases/395
50,bad,Your profile is combined across various products,Anonymity,,Your content can be deleted if you violate the terms,https://edit.tosdr.org/cases/377
30,bad,Your use is throttled,Guarantee,,Your content can be distributed through any media known now or in the future,https://edit.tosdr.org/cases/139
,,,,,Your content can be licensed to third parties,https://edit.tosdr.org/cases/134
,,,,,Your data is processed and stored in a country that is friendlier to user privacy protection,https://edit.tosdr.org/cases/488
,,,,,Your data is processed and stored in a country that is less friendly to user privacy protection,https://edit.tosdr.org/cases/411
,,,,,Your feedback is invited regarding changes to the terms.,https://edit.tosdr.org/cases/119
,,,,,Your identity is used in ads that are shown to other users,https://edit.tosdr.org/cases/327
,,,,,Your information is only shared with third parties when given specific consent,https://edit.tosdr.org/cases/296
,,,,,"Your IP address is collected, which can be used to view your approximate location",https://edit.tosdr.org/cases/399
,,,,,Your personal data is aggregated into statistics,https://edit.tosdr.org/cases/190
,,,,,Your personal data is not shared with third parties,https://edit.tosdr.org/cases/311
,,,,,Your personal data is not sold,https://edit.tosdr.org/cases/193
,,,,,"Your personal data is used for automated decision-making, profiling or AI training",https://edit.tosdr.org/cases/504
,,,,,Your personal data is used for limited purposes,https://edit.tosdr.org/cases/196
,,,,,Your personal data is used to employ targeted third-party advertising,https://edit.tosdr.org/cases/220
,,,,,Your personal data may be disclosed to comply with government requests without notice to you,https://edit.tosdr.org/cases/164
,,,,,Your personal data may be sold or otherwise transferred as part of a bankruptcy proceeding or other type of financial transaction,https://edit.tosdr.org/cases/243
,,,,,Your Personal data may be sold unless you opt out,https://edit.tosdr.org/cases/396
,,,,,Your personal data may be used for marketing purposes,https://edit.tosdr.org/cases/336
,,,,,Your personal data will not be used for an automated decision-making,https://edit.tosdr.org/cases/480
,,,,,Your personal information is used for many different purposes,https://edit.tosdr.org/cases/185
,,,,,Your private content may be accessed by people working for the service,https://edit.tosdr.org/cases/189
,,,,,Your profile is combined across various products,https://edit.tosdr.org/cases/326
,,,,,Your provided identifiable information is actively checked by the service,https://edit.tosdr.org/cases/492
,,,,,Your use is throttled,https://edit.tosdr.org/cases/157
