score,class,case,Topic,,Title,URL
50,good,The court of law governing the terms is in a jurisdiction that is friendlier to user privacy protection.,Jurisdiction and governing laws,https://edit.tosdr.org/cases/241,Pseudonyms are allowed,https://edit.tosdr.org/cases/215
50,bad,The court of law governing the terms is in a jurisdiction that is less friendly to user privacy protection.,Jurisdiction and governing laws,https://edit.tosdr.org/cases/242,Pseudonyms are allowed due to the service's billing policies,https://edit.tosdr.org/cases/212
0,neutral,The court of law governing the terms is in location X,Jurisdiction and governing laws,https://edit.tosdr.org/cases/163,Security incidents are reported to the authorities,https://edit.tosdr.org/cases/500
50,good,The data retention period is kept to the minimum necessary for fulfilling its purposes,Right to Leave The Service,https://edit.tosdr.org/cases/303,Sensitive data is collected and shared to target advertising,https://edit.tosdr.org/cases/487
50,bad,The policy refers to documents that are missing or unfindable,Transparency,https://edit.tosdr.org/cases/386,sensitive personal information is collected,https://edit.tosdr.org/cases/514
25,bad,The policy refers to documents that are missing or unfindable,Transparency,,Separate policies are employed for different parts of the service,https://edit.tosdr.org/cases/200
15,neutral,The posting of pornographic content is prohibited,Content,https://edit.tosdr.org/cases/315,Service fines users for Terms of Service violations,https://edit.tosdr.org/cases/378
0,good,The publishing of personally identifiable information without the owner’s consent is not allowed,Content,https://edit.tosdr.org/cases/444,Some personal data may be kept for business interests or legal obligations,https://edit.tosdr.org/cases/333
50,bad,The service disables software that you are not licensed to use.,Ownership,https://edit.tosdr.org/cases/330,Specific content can be deleted without reason and may be removed without prior notice,https://edit.tosdr.org/cases/202
10,bad,The service does not guarantee accuracy or reliability of the information provided,Guarantee,https://edit.tosdr.org/cases/288,"Spidering, crawling, or accessing the site through any automated means is not allowed",https://edit.tosdr.org/cases/150
50,bad,The service does not guarantee that software errors will be corrected,Guarantee,https://edit.tosdr.org/cases/289,Staff at this organisation receive training about handling data,https://edit.tosdr.org/cases/505
40,good,The service does not index or open files that you upload,Personal Data,https://edit.tosdr.org/cases/194,Terms are short,https://edit.tosdr.org/cases/515
20,good,The service does not use any third-party advertising services,Advertising,https://edit.tosdr.org/cases/498,"Terms may be changed any time at their discretion, without notice to you",https://edit.tosdr.org/cases/121
50,neutral,The service has a no refund policy,Payments,https://edit.tosdr.org/cases/162,The cookies used by this service do not contain information that would personally identify you,https://edit.tosdr.org/cases/374
10,good,The service has non-exclusive use of your content,Copyright License,https://edit.tosdr.org/cases/402,The copyright license maintained by the service over your data and/or content is broader than necessary.,https://edit.tosdr.org/cases/132
50,neutral,The service is not responsible for linked or (clearly) quoted content from third-party content providers,Guarantee,https://edit.tosdr.org/cases/278,The copyright license that you grant this service is limited to the parties that make up the service's broader platform.,https://edit.tosdr.org/cases/136
0,neutral,The service is not transparent regarding government requests or inquiries that may involve your data.,Deprecated,https://edit.tosdr.org/cases/168,The court of law governing the terms is in a jurisdiction that is friendlier to user privacy protection.,https://edit.tosdr.org/cases/241
20,bad,The service is only available in some countries approved by its government,Jurisdiction and governing laws,https://edit.tosdr.org/cases/490,The court of law governing the terms is in a jurisdiction that is less friendly to user privacy protection.,https://edit.tosdr.org/cases/242
20,bad,The service is provided 'as is' and to be used at your sole risk,Guarantee,https://edit.tosdr.org/cases/286,The court of law governing the terms is in location X,https://edit.tosdr.org/cases/163
0,neutral,The service is transparent regarding government requests or inquiries that may involve your data.,Deprecated,https://edit.tosdr.org/cases/169,The data retention period is kept to the minimum necessary for fulfilling its purposes,https://edit.tosdr.org/cases/303
40,bad,"The service may keep a secure, anonymized record of your data for analytical purposes even after the data retention period",Right to Leave The Service,https://edit.tosdr.org/cases/304,The policy refers to documents that are missing or unfindable,https://edit.tosdr.org/cases/386
50,good,The service promises to inform and/or notify you regarding government inquiries that may involve your personal data,Law and Government Requests,https://edit.tosdr.org/cases/165,the policy version has a clear date,https://edit.tosdr.org/cases/506
30,bad,"The service provider makes no warranty regarding uninterrupted, timely, secure or error-free service",Guarantee,https://edit.tosdr.org/cases/287,The posting of pornographic content is prohibited,https://edit.tosdr.org/cases/315
30,good,The service provides details about what kinds of personal information they collect,Personal Data,,The publishing of personally identifiable information without the owner’s consent is not allowed,https://edit.tosdr.org/cases/444
30,good,The service reviews its privacy policy on a regular basis,Notice of Changing Terms,https://edit.tosdr.org/cases/301,The service assumes no liability for any damages the user incurs,https://edit.tosdr.org/cases/293
30,good,The service will only respond to government requests that are reasonable,Law and Government Requests,https://edit.tosdr.org/cases/393,The service can intervene in user disputes,https://edit.tosdr.org/cases/276
60,good,The service will resist legal requests for your information where reasonably possible,Law and Government Requests,https://edit.tosdr.org/cases/305,The service claims to be CCPA compliant for California users,https://edit.tosdr.org/cases/482
15,good,The terms for this service are easy to read,Transparency,https://edit.tosdr.org/cases/199,The service claims to be GDPR compliant for European users,https://edit.tosdr.org/cases/481
0,neutral,The terms for this service are translated into different languages,Transparency,https://edit.tosdr.org/cases/198,The service claims to be LGPD compliant for Brazilian users,https://edit.tosdr.org/cases/483
0,neutral,"The terms may be changed at any time, but you will receive notification of the changes",Notice of Changing Terms,https://edit.tosdr.org/cases/122,The service deletes tracking data after a period of time and allows you to opt out,https://edit.tosdr.org/cases/221
50,neutral,There is a date of the last update of the agreements,Changes,https://edit.tosdr.org/cases/331,The service disables software that you are not licensed to use.,https://edit.tosdr.org/cases/330
